"StateAbbr","Location.ID","Location","Value","Rank","Anomaly..1901.2000.base.period.","X1901.2000.Mean","StateDesc","County"
"AR","AR-067","Jackson County",60.3667,94,0.8072,59.6,"Arkansas","Jackson County"
"AR","AR-069","Jefferson County",62.7167,84,0.5703,62.1,"Arkansas","Jefferson County"
"AR","AR-071","Johnson County",59.1083,83,0.4986,58.6,"Arkansas","Johnson County"
"AR","AR-073","Lafayette County",63.9917,89,0.515,63.5,"Arkansas","Lafayette County"
"AR","AR-075","Lawrence County",59.3667,88,0.6746,58.7,"Arkansas","Lawrence County"
"AR","AR-077","Lee County",62.7667,106,1.2068,61.6,"Arkansas","Lee County"
"AR","AR-079","Lincoln County",63.4917,103,1.0708,62.4,"Arkansas","Lincoln County"
"AR","AR-081","Little River County",63.3833,97,0.7954,62.6,"Arkansas","Little River County"
"AR","AR-003","Ashley County",65.0667,120,1.9014,63.2,"Arkansas","Ashley County"
"AR","AR-005","Baxter County",57.7,81,0.5916,57.1,"Arkansas","Baxter County"
"AR","AR-007","Benton County",58.0167,86,0.726,57.3,"Arkansas","Benton County"
"AR","AR-009","Boone County",57.2667,79,0.4547,56.8,"Arkansas","Boone County"
"AR","AR-011","Bradley County",64.3083,118,1.6118,62.7,"Arkansas","Bradley County"
"AR","AR-013","Calhoun County",63.5,95,0.7678,62.7,"Arkansas","Calhoun County"
"AR","AR-015","Carroll County",57.4333,81,0.5325,56.9,"Arkansas","Carroll County"
"AR","AR-017","Chicot County",64.7083,105,1.1876,63.5,"Arkansas","Chicot County"
"AR","AR-019","Clark County",62.9,94,0.799,62.1,"Arkansas","Clark County"
"AR","AR-021","Clay County",59.5083,90,0.8011,58.7,"Arkansas","Clay County"
"AR","AR-023","Cleburne County",59.5417,86,0.676,58.9,"Arkansas","Cleburne County"
"AR","AR-025","Cleveland County",62.9667,94,0.6534,62.3,"Arkansas","Cleveland County"
"AR","AR-027","Columbia County",63.6667,80,0.3162,63.4,"Arkansas","Columbia County"
"AR","AR-029","Conway County",60.925,90,0.7311,60.2,"Arkansas","Conway County"
"AR","AR-031","Craighead County",60.5,101,1.0546,59.4,"Arkansas","Craighead County"
"AR","AR-033","Crawford County",59.9417,84,0.6367,59.3,"Arkansas","Crawford County"
"AR","AR-035","Crittenden County",62.575,105,1.3239,61.3,"Arkansas","Crittenden County"
"AR","AR-037","Cross County",61.875,103,1.0873,60.8,"Arkansas","Cross County"
"AR","AR-039","Dallas County",62.6917,82,0.4573,62.2,"Arkansas","Dallas County"
"AR","AR-041","Desha County",63.9417,108,1.2166,62.7,"Arkansas","Desha County"
"AR","AR-043","Drew County",64.2167,114,1.4618,62.8,"Arkansas","Drew County"
"AR","AR-125","Saline County",61.675,83,0.4788,61.2,"Arkansas","Saline County"
"AR","AR-127","Scott County",60.575,94,0.8368,59.7,"Arkansas","Scott County"
"AR","AR-129","Searcy County",57.4083,74,0.3819,57,"Arkansas","Searcy County"
"AR","AR-131","Sebastian County",61.25,90,0.9059,60.3,"Arkansas","Sebastian County"
"AR","AR-133","Sevier County",62.5917,97,0.9409,61.7,"Arkansas","Sevier County"
"AR","AR-135","Sharp County",58.4083,92,0.9822,57.4,"Arkansas","Sharp County"
"AR","AR-137","Stone County",58.0833,78,0.4183,57.7,"Arkansas","Stone County"
"AR","AR-139","Union County",64.4417,108,1.2037,63.2,"Arkansas","Union County"
"AR","AR-141","Van Buren County",58.75,85,0.5536,58.2,"Arkansas","Van Buren County"
"AR","AR-143","Washington County",57.8667,84,0.5417,57.3,"Arkansas","Washington County"
"AR","AR-145","White County",61.4,101,1.0678,60.3,"Arkansas","White County"
"AR","AR-147","Woodruff County",61.5583,97,0.7768,60.8,"Arkansas","Woodruff County"
"AR","AR-149","Yell County",61.1583,88,0.6287,60.5,"Arkansas","Yell County"
"AR","AR-097","Montgomery County",61.0917,96,0.9517,60.1,"Arkansas","Montgomery County"
"AR","AR-099","Nevada County",63.1083,84,0.3884,62.7,"Arkansas","Nevada County"
"AR","AR-101","Newton County",56.825,76,0.4122,56.4,"Arkansas","Newton County"
"AR","AR-103","Ouachita County",63.15,73,0.1265,63,"Arkansas","Ouachita County"
"AR","AR-105","Perry County",61.4917,90,0.7308,60.8,"Arkansas","Perry County"
"AR","AR-107","Phillips County",63.275,112,1.3535,61.9,"Arkansas","Phillips County"
"AR","AR-083","Logan County",60.675,84,0.5176,60.2,"Arkansas","Logan County"
"AR","AR-085","Lonoke County",62.25,91,0.6903,61.6,"Arkansas","Lonoke County"
