County,State,Population,ALAND_SQMI,PopulationDensity
Barton County,Missouri,"11,754",592.03,20
Webster County,Missouri,"39,592",592.563,67
Miller County,Missouri,"25,619",592.602,43
Morgan County,Missouri,"20,627",597.635,35
Jackson County,Missouri,"703,011",604.516,1163
Osage County,Missouri,"13,615",606.58,22
Lawrence County,Missouri,"38,355",611.738,63
Linn County,Missouri,"11,920",615.588,19
Bollinger County,Missouri,"12,133",617.904,20
Newton County,Missouri,"58,236",624.754,93
Lincoln County,Missouri,"59,013",626.57,94
Lafayette County,Missouri,"32,708",628.436,52
Ripley County,Missouri,"13,288",629.531,21
Taney County,Missouri,"55,928",632.371,88
Polk County,Missouri,"32,149",635.527,51
Jasper County,Missouri,"121,328",638.506,190
Monroe County,Missouri,"8,644",647.658,13
Sullivan County,Missouri,"6,089",647.982,9
Camden County,Missouri,"46,305",656.043,71
Jefferson County,Missouri,"225,081",656.467,343
Pike County,Missouri,"18,302",670.439,27
Phelps County,Missouri,"44,573",671.787,66
New Madrid County,Missouri,"17,076",674.858,25
Greene County,Missouri,"293,086",675.327,434
Wright County,Missouri,"18,289",681.775,27
Pettis County,Missouri,"42,339",682.225,62
Boone County,Missouri,"180,463",685.551,263
Audrain County,Missouri,"25,388",692.245,37
Carroll County,Missouri,"8,679",694.622,12
Butler County,Missouri,"42,478",694.67,61
Cass County,Missouri,"105,780",696.615,152
Henry County,Missouri,"21,824",696.945,31
Benton County,Missouri,"19,443",704.043,28
Harrison County,Missouri,"8,352",722.517,12
Crawford County,Missouri,"23,920",742.477,32
Ozark County,Missouri,"9,174",744.972,12
Chariton County,Missouri,"7,426",751.178,10
Dent County,Missouri,"15,573",752.761,21
Saline County,Missouri,"22,761",755.493,30
Wayne County,Missouri,"12,873",759.186,17
Washington County,Missouri,"24,730",759.866,33
Laclede County,Missouri,"35,723",764.63,47
Barry County,Missouri,"35,789",778.075,46
Oregon County,Missouri,"10,529",789.797,13
Macon County,Missouri,"15,117",801.208,19
Reynolds County,Missouri,"6,270",808.477,8
Douglas County,Missouri,"13,185",813.623,16
Stoddard County,Missouri,"29,025",823.218,35
Vernon County,Missouri,"20,563",826.391,25
Johnson County,Missouri,"54,062",829.26,65
Callaway County,Missouri,"44,743",834.567,54
Bates County,Missouri,"16,172",836.695,19
Nodaway County,Missouri,"22,092",876.964,25
Franklin County,Missouri,"103,967",922.651,113
Howell County,Missouri,"40,117",927.248,43
Shannon County,Missouri,"8,166",1003.821,8
Texas County,Missouri,"25,398",1177.266,22
St Charles County,Missouri,"402,022",560.512,717
St Louis city,Missouri,"300,576",61.744,4868
Ste Genevieve County,Missouri,"17,894",499.153,36
St Clair County,Missouri,"9,397",674.981,14
St Louis County,Missouri,"994,205",507.44,1959
St Francois County,Missouri,"67,215",451.887,149
Silver Bow County,Montana,"34,915",717.983,49
Deer Lodge County,Montana,"9,140",736.683,12
Wibaux County,Montana,969,889.571,1
Treasure County,Montana,696,977.801,1
Golden Valley County,Montana,821,1174.423,1
Broadwater County,Montana,"6,237",1192.359,5
Mineral County,Montana,"4,397",1219.619,4
Wheatland County,Montana,"2,126",1422.481,1
Daniels County,Montana,"1,690",1426.016,1
Liberty County,Montana,"2,337",1429.983,2
Lake County,Montana,"30,458",1490.467,20
Fallon County,Montana,"2,846",1620.595,2
Pondera County,Montana,"5,911",1624.567,4
Petroleum County,Montana,487,1655.625,0
Jefferson County,Montana,"12,221",1656.863,7
Sheridan County,Montana,"3,309",1675.808,2
Granite County,Montana,"3,379",1727.162,2
Prairie County,Montana,"1,077",1736.603,1
Stillwater County,Montana,"9,642",1796.746,5
Sweet Grass County,Montana,"3,737",1855.505,2
Musselshell County,Montana,"4,633",1868.958,2
Judith Basin County,Montana,"2,007",1869.687,1
Toole County,Montana,"4,736",1915.016,2
Carbon County,Montana,"10,725",2047.705,5
Richland County,Montana,"10,803",2084.556,5
Teton County,Montana,"6,147",2271.603,3
Powell County,Montana,"6,890",2326.042,3
Roosevelt County,Montana,"11,004",2354.602,5
Dawson County,Montana,"8,613",2371.918,4
Ravalli County,Montana,"43,806",2390.998,18
Meagher County,Montana,"1,862",2391.868,1
Missoula County,Montana,"119,600",2593.009,46
Gallatin County,Montana,"114,434",2605.015,44
Yellowstone County,Montana,"161,300",2633.473,61
McCone County,Montana,"1,664",2642.225,1
Cascade County,Montana,"81,366",2698.174,30
Sanders County,Montana,"12,113",2760.401,4
Park County,Montana,"16,606",2802.471,6
Hill County,Montana,"16,484",2899.17,6
Glacier County,Montana,"13,753",2994.946,5
Powder River County,Montana,"1,682",3298.196,1
Carter County,Montana,"1,252",3340.477,0
Lewis and Clark County,Montana,"69,432",3458.381,20
Madison County,Montana,"8,600",3588.157,2
Lincoln County,Montana,"19,980",3612.535,6
Custer County,Montana,"11,402",3783.309,3
Chouteau County,Montana,"5,635",3972.538,1
Blaine County,Montana,"6,681",4227.122,2
Fergus County,Montana,"11,050",4339.329,3
Garfield County,Montana,"1,258",4676.56,0
Valley County,Montana,"7,396",4926.1,2
Big Horn County,Montana,"13,319",4997.815,3
Rosebud County,Montana,"8,937",5008.135,2
Flathead County,Montana,"103,806",5087.198,20
Phillips County,Montana,"3,954",5140.478,1
Beaverhead County,Montana,"9,453",5542.687,2
Sarpy County,Nebraska,"187,196",238.152,786
Dakota County,Nebraska,"20,026",264.273,76
Douglas County,Nebraska,"571,327",326.411,1750
Johnson County,Nebraska,"5,071",376.073,13
Washington County,Nebraska,"20,729",389.957,53
Thurston County,Nebraska,"7,224",393.584,18
Nemaha County,Nebraska,"6,972",407.377,17
Colfax County,Nebraska,"10,709",411.647,26
Stanton County,Nebraska,"5,920",427.608,14
Pawnee County,Nebraska,"2,613",431.075,6
Polk County,Nebraska,"5,213",438.346,12
Deuel County,Nebraska,"1,794",439.851,4
Nance County,Nebraska,"3,519",441.598,8
Wayne County,Nebraska,"9,385",442.916,21
Gosper County,Nebraska,"1,990",458.155,4
Dixon County,Nebraska,"5,636",476.11,12
Merrick County,Nebraska,"7,755",485.852,16
Burt County,Nebraska,"6,459",491.586,13
Kearney County,Nebraska,"6,495",516.243,13
Dodge County,Nebraska,"36,565",529.064,69
Phelps County,Nebraska,"9,034",539.79,17
Boyd County,Nebraska,"1,919",539.935,4
Hamilton County,Nebraska,"9,324",541.898,17
Hall County,Nebraska,"61,353",546.391,112
Richardson County,Nebraska,"7,865",551.841,14
Harlan County,Nebraska,"3,380",553.466,6
Cass County,Nebraska,"26,248",557.353,47
Adams County,Nebraska,"31,363",563.274,56
Loup County,Nebraska,664,563.521,1
Sherman County,Nebraska,"3,001",565.829,5
Valley County,Nebraska,"4,158",568.112,7
Garfield County,Nebraska,"1,969",569.33,3
Howard County,Nebraska,"6,445",569.338,11
Greeley County,Nebraska,"2,356",569.811,4
Jefferson County,Nebraska,"7,046",570.171,12
Cuming County,Nebraska,"8,846",570.525,16
Logan County,Nebraska,748,570.661,1
Seward County,Nebraska,"17,284",571.43,30
Clay County,Nebraska,"6,203",572.289,11
York County,Nebraska,"13,679",572.51,24
Madison County,Nebraska,"35,099",572.622,61
Pierce County,Nebraska,"7,148",573.249,12
Thayer County,Nebraska,"5,003",573.807,9
Saline County,Nebraska,"14,224",574.061,25
Webster County,Nebraska,"3,487",574.913,6
Nuckolls County,Nebraska,"4,148",575.155,7
Wheeler County,Nebraska,783,575.183,1
Fillmore County,Nebraska,"5,462",575.371,9
Franklin County,Nebraska,"2,979",575.816,5
Butler County,Nebraska,"8,016",584.901,14
Otoe County,Nebraska,"16,012",615.664,26
Platte County,Nebraska,"33,470",674.1,50
Boone County,Nebraska,"5,192",686.554,8
Hitchcock County,Nebraska,"2,762",709.943,4
Blaine County,Nebraska,465,710.688,1
Thomas County,Nebraska,722,712.9,1
Hayes County,Nebraska,922,713.062,1
Arthur County,Nebraska,463,715.355,1
Red Willow County,Nebraska,"10,724",717.006,15
Furnas County,Nebraska,"4,676",719.132,7
Hooker County,Nebraska,682,721.16,1
Scotts Bluff County,Nebraska,"35,618",739.416,48
Cedar County,Nebraska,"8,402",740.243,11
Banner County,Nebraska,745,746.211,1
Saunders County,Nebraska,"21,578",749.29,29
Keya Paha County,Nebraska,806,773.076,1
Grant County,Nebraska,623,776.869,1
Lancaster County,Nebraska,"319,090",837.56,381
Gage County,Nebraska,"21,513",851.462,25
Antelope County,Nebraska,"6,298",857.157,7
McPherson County,Nebraska,494,858.974,1
Perkins County,Nebraska,"2,891",883.335,3
Chase County,Nebraska,"3,924",894.419,4
Dundy County,Nebraska,"1,693",919.678,2
Kimball County,Nebraska,"3,632",951.846,4
Buffalo County,Nebraska,"49,659",968.22,51
Frontier County,Nebraska,"2,627",974.631,3
Rock County,Nebraska,"1,357",1008.293,1
Dawson County,Nebraska,"23,595",1013.089,23
Keith County,Nebraska,"8,034",1061.6,8
Box Butte County,Nebraska,"10,783",1075.293,10
Knox County,Nebraska,"8,332",1108.443,8
Cheyenne County,Nebraska,"8,910",1196.287,7
Brown County,Nebraska,"2,955",1221.356,2
Dawes County,Nebraska,"8,589",1396.484,6
Morrill County,Nebraska,"4,642",1423.837,3
Garden County,Nebraska,"1,837",1705.446,1
Sioux County,Nebraska,"1,166",2066.699,1
Holt County,Nebraska,"10,067",2412.397,4
Sheridan County,Nebraska,"5,246",2440.96,2
Lincoln County,Nebraska,"34,914",2564.133,14
Custer County,Nebraska,"10,777",2575.594,4
Cherry County,Nebraska,"5,689",5960.208,1
Carson City,Nevada,"55,916",144.661,387
Storey County,Nevada,"4,123",263.971,16
Douglas County,Nevada,"48,905",709.722,69
Lyon County,Nevada,"57,510",2001.234,29
Esmeralda County,Nevada,873,3581.889,0
Mineral County,Nevada,"4,505",3752.842,1
Eureka County,Nevada,"2,029",4175.688,0
Churchill County,Nevada,"24,909",4950.519,5
Lander County,Nevada,"5,532",5519.247,1
Pershing County,Nevada,"6,725",6036.589,1
Washoe County,Nevada,"471,519",6316.16,75
Clark County,Nevada,"2,266,715",7891.649,287
White Pine County,Nevada,"9,580",8886.665,1
Humboldt County,Nevada,"16,831",9640.791,2
Lincoln County,Nevada,"5,183",10633.386,0
Elko County,Nevada,"52,778",17173.446,3
Nye County,Nevada,"46,523",18181.914,3
Sullivan County,New Hampshire,"43,146",537.544,80
Coos County,New Hampshire,"31,563",1794.573,18
Grafton County,New Hampshire,"89,886",1708.6,53
Merrimack County,New Hampshire,"151,391",932.882,162
Hillsborough County,New Hampshire,"417,025",876.528,476
Carroll County,New Hampshire,"48,910",931.862,52
Strafford County,New Hampshire,"130,633",367.471,355
Cheshire County,New Hampshire,"76,085",706.709,108
Belknap County,New Hampshire,"61,303",401.844,153
Rockingham County,New Hampshire,"309,769",695.386,445
Hudson County,New Jersey,"672,391",46.194,14556
Morris County,New Jersey,"491,845",460.959,1067
Warren County,New Jersey,"105,267",356.536,295
Monmouth County,New Jersey,"618,795",468.182,1322
Cumberland County,New Jersey,"149,527",483.361,309
Ocean County,New Jersey,"607,186",628.338,966
Atlantic County,New Jersey,"263,670",555.515,475
Cape May County,New Jersey,"92,039",251.483,366
Salem County,New Jersey,"62,385",331.862,188
Essex County,New Jersey,"798,975",126.085,6337
Mercer County,New Jersey,"367,430",224.44,1637
Hunterdon County,New Jersey,"124,371",427.831,291
Passaic County,New Jersey,"501,826",186.011,2698
Bergen County,New Jersey,"932,202",232.785,4005
Sussex County,New Jersey,"140,488",518.753,271
Somerset County,New Jersey,"328,934",301.866,1090
Middlesex County,New Jersey,"825,062",309.215,2668
Camden County,New Jersey,"506,471",221.35,2288
Burlington County,New Jersey,"445,349",799.292,557
Gloucester County,New Jersey,"291,636",321.977,906
Union County,New Jersey,"556,341",102.766,5414
Doña Ana County,New Mexico,"218,195",3808.189,57
Bernalillo County,New Mexico,"679,121",1161.258,585
Quay County,New Mexico,"8,253",2873.955,3
San Juan County,New Mexico,"123,958",5517.204,22
Curry County,New Mexico,"48,954",1405.513,35
Taos County,New Mexico,"32,723",2202.373,15
Grant County,New Mexico,"26,998",3961.206,7
Union County,New Mexico,"4,059",3825.063,1
Santa Fe County,New Mexico,"150,358",1910.378,79
McKinley County,New Mexico,"71,367",5450.679,13
Sandoval County,New Mexico,"146,748",3710.111,40
Guadalupe County,New Mexico,"4,300",3029.772,1
Luna County,New Mexico,"23,709",2965.179,8
Sierra County,New Mexico,"10,791",4181.196,3
Chaves County,New Mexico,"64,615",6067.174,11
Otero County,New Mexico,"67,490",6612.562,10
Valencia County,New Mexico,"76,688",1066.744,72
De Baca County,New Mexico,"1,748",2323.107,1
Lincoln County,New Mexico,"19,572",4831.115,4
Torrance County,New Mexico,"15,461",3345.213,5
Hidalgo County,New Mexico,"4,198",3438.534,1
Mora County,New Mexico,"4,521",1926.249,2
Eddy County,New Mexico,"58,460",4176.345,14
Colfax County,New Mexico,"11,941",3757.975,3
San Miguel County,New Mexico,"27,277",4721.515,6
Harding County,New Mexico,625,2125.478,0
Roosevelt County,New Mexico,"18,500",2446.051,8
Rio Arriba County,New Mexico,"38,921",5860.873,7
Catron County,New Mexico,"3,527",6924.186,1
Cibola County,New Mexico,"26,675",4539.984,6
Socorro County,New Mexico,"16,637",6646.387,3
Lea County,New Mexico,"71,070",4391.47,16
Los Alamos County,New Mexico,"19,369",109.206,177
Wayne County,New York,"89,918",603.83,149
Steuben County,New York,"95,379",1390.555,69
Erie County,New York,"918,702",1042.726,881
Orange County,New York,"384,940",812.315,474
Genesee County,New York,"57,280",492.939,116
Dutchess County,New York,"294,218",795.649,370
Delaware County,New York,"44,135",1442.423,31
Allegany County,New York,"46,091",1029.36,45
Cortland County,New York,"47,581",498.773,95
Sullivan County,New York,"75,432",968.137,78
Albany County,New York,"305,506",522.829,584
Westchester County,New York,"967,506",430.589,2247
New York County,New York,"1,628,706",22.661,71873
Jefferson County,New York,"109,834",1268.702,87
Rensselaer County,New York,"158,714",652.456,243
Monroe County,New York,"741,770",656.868,1129
Fulton County,New York,"53,383",495.46,108
Oswego County,New York,"117,124",951.646,123
Ontario County,New York,"109,777",644.05,170
Putnam County,New York,"98,320",230.327,427
Oneida County,New York,"228,671",1212.331,189
Nassau County,New York,"1,356,924",284.633,4767
Madison County,New York,"70,941",654.848,108
Chautauqua County,New York,"126,903",1060.255,120
Cattaraugus County,New York,"76,117",1308.278,58
Schuyler County,New York,"17,807",328.343,54
Essex County,New York,"36,885",1794.118,21
Montgomery County,New York,"49,221",403.117,122
Otsego County,New York,"59,493",1001.737,59
Greene County,New York,"47,188",647.161,73
Washington County,New York,"61,204",831.167,74
Schenectady County,New York,"155,299",204.581,759
Columbia County,New York,"59,461",634.663,94
Herkimer County,New York,"61,319",1411.541,43
Chenango County,New York,"47,207",893.593,53
Kings County,New York,"2,559,903",69.371,36902
Richmond County,New York,"476,143",57.52,8278
Rockland County,New York,"325,789",173.444,1878
Lewis County,New York,"26,296",1274.642,21
Niagara County,New York,"209,281",522.353,401
Cayuga County,New York,"76,576",691.583,111
Seneca County,New York,"34,016",323.709,105
Ulster County,New York,"177,573",1124.236,158
Schoharie County,New York,"30,999",621.819,50
Onondaga County,New York,"460,528",778.387,592
Warren County,New York,"63,944",867.217,74
Suffolk County,New York,"1,476,601",911.807,1619
Orleans County,New York,"40,352",391.263,103
Tompkins County,New York,"102,180",474.641,215
Chemung County,New York,"83,456",407.353,205
Wyoming County,New York,"39,859",592.752,67
Yates County,New York,"24,913",338.149,74
Saratoga County,New York,"229,863",809.996,284
Queens County,New York,"2,253,858",108.778,20720
Broome County,New York,"190,488",705.819,270
Bronx County,New York,"1,418,207",42.05,33727
Hamilton County,New York,"4,416",1717.378,3
Franklin County,New York,"50,022",1629.214,31
Clinton County,New York,"80,485",1037.757,78
Livingston County,New York,"62,914",631.762,100
Tioga County,New York,"48,203",518.61,93
St Lawrence County,New York,"107,740",2679.502,40
Catawba County,North Carolina,"159,551",401.373,398
Harnett County,North Carolina,"135,976",595.022,229
Haywood County,North Carolina,"62,317",553.56,113
Wayne County,North Carolina,"123,131",553.919,222
Perquimans County,North Carolina,"13,463",247.171,54
Stokes County,North Carolina,"45,591",449.014,102
Montgomery County,North Carolina,"27,173",491.537,55
Avery County,North Carolina,"17,557",247.338,71
Lee County,North Carolina,"61,779",255.062,242
Currituck County,North Carolina,"27,763",261.912,106
Edgecombe County,North Carolina,"51,472",505.433,102
Anson County,North Carolina,"24,446",531.461,46
Tyrrell County,North Carolina,"4,016",390.776,10
Northampton County,North Carolina,"19,483",536.677,36
Greene County,North Carolina,"21,069",266.735,79
Columbus County,North Carolina,"55,508",938.121,59
Johnston County,North Carolina,"209,339",791.221,265
Halifax County,North Carolina,"50,010",723.738,69
Cleveland County,North Carolina,"97,947",464.215,211
Richmond County,North Carolina,"44,829",473.689,95
Yancey County,North Carolina,"18,069",312.592,58
Lenoir County,North Carolina,"55,949",399.087,140
Bladen County,North Carolina,"32,722",874.864,37
Polk County,North Carolina,"20,724",237.687,87
Caldwell County,North Carolina,"82,178",471.891,174
Davie County,North Carolina,"42,846",263.694,162
Alleghany County,North Carolina,"11,137",234.418,48
Surry County,North Carolina,"71,783",533.742,134
Transylvania County,North Carolina,"34,385",378.353,91
Rockingham County,North Carolina,"91,010",565.639,161
Jackson County,North Carolina,"43,938",491.107,89
Vance County,North Carolina,"44,535",252.4,176
Wilkes County,North Carolina,"68,412",754.54,91
Craven County,North Carolina,"102,139",706.573,145
Gaston County,North Carolina,"224,529",355.749,631
Hoke County,North Carolina,"55,234",390.124,142
Chowan County,North Carolina,"13,943",172.657,81
Stanly County,North Carolina,"62,806",395.133,159
Forsyth County,North Carolina,"382,295",407.809,937
Buncombe County,North Carolina,"261,191",656.497,398
Watauga County,North Carolina,"56,177",312.44,180
Pitt County,North Carolina,"180,742",652.37,277
Hertford County,North Carolina,"23,677",353.164,67
Wilson County,North Carolina,"81,801",367.549,223
Cherokee County,North Carolina,"28,612",455.541,63
Davidson County,North Carolina,"167,609",553.179,303
Duplin County,North Carolina,"58,741",814.759,72
Mecklenburg County,North Carolina,"1,110,356",523.581,2121
Sampson County,North Carolina,"63,531",945.702,67
Henderson County,North Carolina,"117,417",372.943,315
Guilford County,North Carolina,"537,174",645.925,832
Granville County,North Carolina,"60,443",531.991,114
Pender County,North Carolina,"63,060",871.296,72
Moore County,North Carolina,"100,880",697.677,145
Dare County,North Carolina,"37,009",383.229,97
Beaufort County,North Carolina,"46,994",832.092,56
Martin County,North Carolina,"22,440",456.425,49
Swain County,North Carolina,"14,271",527.728,27
Cumberland County,North Carolina,"335,509",652.563,514
Pasquotank County,North Carolina,"39,824",226.88,176
Iredell County,North Carolina,"181,806",574.296,317
Graham County,North Carolina,"8,441",291.966,29
Madison County,North Carolina,"21,755",449.615,48
Camden County,North Carolina,"10,867",240.329,45
Clay County,North Carolina,"11,231",214.983,52
Franklin County,North Carolina,"69,685",491.8,142
Wake County,North Carolina,"1,111,761",834.829,1332
Brunswick County,North Carolina,"142,820",849.193,168
Warren County,North Carolina,"19,731",429.391,46
Robeson County,North Carolina,"130,625",947.277,138
Jones County,North Carolina,"9,419",471.368,20
Burke County,North Carolina,"90,485",506.237,179
Macon County,North Carolina,"35,858",515.579,70
Rowan County,North Carolina,"142,088",511.48,278
Randolph County,North Carolina,"143,667",782.332,184
McDowell County,North Carolina,"45,756",439.955,104
Washington County,North Carolina,"11,580",346.51,33
Alamance County,North Carolina,"169,509",423.445,400
New Hanover County,North Carolina,"234,473",192.251,1220
Onslow County,North Carolina,"197,938",762.071,260
Gates County,North Carolina,"11,562",340.612,34
Rutherford County,North Carolina,"67,029",565.437,119
Hyde County,North Carolina,"4,937",612.345,8
Nash County,North Carolina,"94,298",540.444,174
Orange County,North Carolina,"148,476",397.559,373
Chatham County,North Carolina,"74,470",681.721,109
Person County,North Carolina,"39,490",392.334,101
Caswell County,North Carolina,"22,604",425.367,53
Carteret County,North Carolina,"69,473",507.603,137
Lincoln County,North Carolina,"86,111",295.843,291
Alexander County,North Carolina,"37,497",259.985,144
Ashe County,North Carolina,"27,203",425.072,64
Union County,North Carolina,"239,859",632.723,379
Bertie County,North Carolina,"18,947",699.176,27
Pamlico County,North Carolina,"12,726",336.506,38
Cabarrus County,North Carolina,"216,453",361.257,599
Mitchell County,North Carolina,"14,964",221.251,68
Yadkin County,North Carolina,"37,667",334.942,112
Durham County,North Carolina,"321,488",286.486,1122
Scotland County,North Carolina,"34,823",319.141,109
Sioux County,North Dakota,"4,230",1094.052,4
Adams County,North Dakota,"2,216",987.547,2
McHenry County,North Dakota,"5,745",1873.942,3
Benson County,North Dakota,"6,832",1388.555,5
Renville County,North Dakota,"2,327",877.264,3
Steele County,North Dakota,"1,890",712.143,3
Hettinger County,North Dakota,"2,499",1132.239,2
Morton County,North Dakota,"31,364",1925.888,16
McIntosh County,North Dakota,"2,497",974.563,3
Barnes County,North Dakota,"10,415",1491.558,7
Pierce County,North Dakota,"3,975",1018.285,4
Slope County,North Dakota,750,1215.264,1
Grant County,North Dakota,"2,274",1659.233,1
Burleigh County,North Dakota,"95,626",1632.694,59
Burke County,North Dakota,"2,115",1103.549,2
Bottineau County,North Dakota,"6,282",1668.377,4
Stark County,North Dakota,"31,489",1334.913,24
Nelson County,North Dakota,"2,879",981.815,3
Dunn County,North Dakota,"4,424",2008.492,2
Cavalier County,North Dakota,"3,762",1489.054,3
Mountrail County,North Dakota,"10,545",1825.259,6
Rolette County,North Dakota,"14,176",902.891,16
Ward County,North Dakota,"67,641",2012.93,34
Sheridan County,North Dakota,"1,315",972.226,1
Ramsey County,North Dakota,"11,519",1185.38,10
Pembina County,North Dakota,"6,801",1118.678,6
Sargent County,North Dakota,"3,898",858.483,5
Logan County,North Dakota,"1,850",992.599,2
Oliver County,North Dakota,"1,959",722.404,3
Dickey County,North Dakota,"4,872",1131.493,4
Billings County,North Dakota,928,1148.488,1
Emmons County,North Dakota,"3,241",1510.003,2
Bowman County,North Dakota,"3,024",1161.809,3
Eddy County,North Dakota,"2,287",630.239,4
McLean County,North Dakota,"9,450",2110.259,4
Kidder County,North Dakota,"2,480",1351.062,2
Cass County,North Dakota,"181,923",1764.934,103
Golden Valley County,North Dakota,"1,761",1000.885,2
Traill County,North Dakota,"8,036",861.871,9
LaMoure County,North Dakota,"4,046",1146.005,4
Foster County,North Dakota,"3,210",634.08,5
Wells County,North Dakota,"3,834",1270.533,3
Richland County,North Dakota,"16,177",1435.674,11
Williams County,North Dakota,"37,589",2077.596,18
Divide County,North Dakota,"2,264",1260.878,2
Mercer County,North Dakota,"8,187",1042.781,8
Griggs County,North Dakota,"2,231",708.655,3
Towner County,North Dakota,"2,189",1024.909,2
Walsh County,North Dakota,"10,641",1281.607,8
Grand Forks County,North Dakota,"69,451",1436.225,48
McKenzie County,North Dakota,"15,024",2760.134,5
Stutsman County,North Dakota,"20,704",2221.904,9
Ransom County,North Dakota,"5,218",862.472,6
Lake County,Ohio,"230,149",229.27,1004
Erie County,Ohio,"74,266",251.379,295
Ottawa County,Ohio,"40,525",254.714,159
Lucas County,Ohio,"428,348",339.655,1261
Carroll County,Ohio,"26,914",394.609,68
Clark County,Ohio,"134,083",396.877,338
Noble County,Ohio,"14,424",398.012,36
Geauga County,Ohio,"93,649",400.3,234
Warren County,Ohio,"234,602",401.189,585
Auglaize County,Ohio,"45,656",401.388,114
Crawford County,Ohio,"41,494",401.786,103
Harrison County,Ohio,"15,040",402.331,37
Allen County,Ohio,"102,351",402.504,254
Marion County,Ohio,"65,093",403.808,161
Hamilton County,Ohio,"817,473",405.407,2016
Fulton County,Ohio,"42,126",405.447,104
Morrow County,Ohio,"35,328",406.134,87
Fayette County,Ohio,"28,525",406.361,70
Miami County,Ohio,"106,987",406.513,263
Wyandot County,Ohio,"21,772",406.879,54
Shelby County,Ohio,"48,590",407.696,119
Perry County,Ohio,"36,134",407.934,89
Jefferson County,Ohio,"65,325",408.124,160
Sandusky County,Ohio,"58,518",408.246,143
Clinton County,Ohio,"41,968",408.685,103
Van Wert County,Ohio,"28,275",409.153,69
Defiance County,Ohio,"38,087",411.45,93
Mahoning County,Ohio,"228,683",411.497,556
Vinton County,Ohio,"13,085",412.356,32
Summit County,Ohio,"541,013",412.789,1311
Greene County,Ohio,"168,937",413.625,408
Henry County,Ohio,"27,006",416.01,65
Morgan County,Ohio,"14,508",416.426,35
Paulding County,Ohio,"18,672",416.435,45
Jackson County,Ohio,"32,413",420.31,77
Williams County,Ohio,"36,692",420.66,87
Hocking County,Ohio,"28,264",421.328,67
Medina County,Ohio,"179,746",421.457,426
Holmes County,Ohio,"43,960",422.552,104
Ashland County,Ohio,"53,484",422.961,126
Preble County,Ohio,"40,882",424.226,96
Champaign County,Ohio,"38,885",428.994,91
Meigs County,Ohio,"22,907",430.102,53
Union County,Ohio,"58,988",431.725,137
Pike County,Ohio,"27,772",440.282,63
Delaware County,Ohio,"209,177",443.16,472
Clermont County,Ohio,"206,428",452.119,457
Lawrence County,Ohio,"59,463",453.371,131
Monroe County,Ohio,"13,654",455.723,30
Cuyahoga County,Ohio,"1,235,072",457.181,2701
Logan County,Ohio,"45,672",458.51,100
Montgomery County,Ohio,"531,687",461.518,1152
Mercer County,Ohio,"41,172",462.444,89
Madison County,Ohio,"44,731",465.811,96
Butler County,Ohio,"383,134",466.529,821
Gallia County,Ohio,"29,898",466.531,64
Hardin County,Ohio,"31,365",470.31,67
Putnam County,Ohio,"33,861",482.544,70
Portage County,Ohio,"162,466",487.404,333
Brown County,Ohio,"43,432",490.017,89
Lorain County,Ohio,"309,833",491.197,631
Huron County,Ohio,"58,266",491.494,119
Richland County,Ohio,"121,154",495.197,245
Pickaway County,Ohio,"58,457",501.228,117
Athens County,Ohio,"65,327",503.627,130
Fairfield County,Ohio,"157,574",504.41,312
Guernsey County,Ohio,"38,875",522.254,74
Knox County,Ohio,"62,322",525.505,119
Hancock County,Ohio,"75,783",531.325,143
Columbiana County,Ohio,"101,883",531.917,192
Belmont County,Ohio,"67,006",532.126,126
Franklin County,Ohio,"1,316,756",532.411,2473
Seneca County,Ohio,"55,178",551.026,100
Highland County,Ohio,"43,161",553.084,78
Wayne County,Ohio,"115,710",554.805,209
Coshocton County,Ohio,"36,600",563.959,65
Tuscarawas County,Ohio,"91,987",567.432,162
Stark County,Ohio,"370,606",575.314,644
Adams County,Ohio,"27,698",583.867,47
Darke County,Ohio,"51,113",598.1,85
Scioto County,Ohio,"75,314",610.23,123
Wood County,Ohio,"130,817",617.188,212
Trumbull County,Ohio,"197,974",618.087,320
Washington County,Ohio,"59,911",631.974,95
Muskingum County,Ohio,"86,215",664.546,130
Licking County,Ohio,"176,862",682.438,259
Ross County,Ohio,"76,666",689.187,111
Ashtabula County,Ohio,"97,241",702.073,139
Marshall County,Oklahoma,"16,931",371.601,46
Washington County,Oklahoma,"51,527",415.524,124
Murray County,Oklahoma,"14,073",416.374,34
Ottawa County,Oklahoma,"31,127",470.817,66
Love County,Oklahoma,"10,253",513.912,20
Coal County,Oklahoma,"5,495",516.77,11
Harmon County,Oklahoma,"2,653",537.258,5
Cleveland County,Oklahoma,"284,014",538.788,527
Wagoner County,Oklahoma,"81,289",561.682,145
Nowata County,Oklahoma,"10,076",565.817,18
Pawnee County,Oklahoma,"16,376",568.351,29
Tulsa County,Oklahoma,"651,552",570.081,1143
McClain County,Oklahoma,"40,474",570.717,71
Adair County,Oklahoma,"22,194",573.855,39
Haskell County,Oklahoma,"12,627",576.723,22
McIntosh County,Oklahoma,"19,596",618.288,32
Okfuskee County,Oklahoma,"11,993",618.446,19
Cotton County,Oklahoma,"5,666",632.633,9
Seminole County,Oklahoma,"24,258",632.832,38
Greer County,Oklahoma,"5,712",639.282,9
Johnston County,Oklahoma,"11,085",643.049,17
Mayes County,Oklahoma,"41,100",655.377,63
