Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
OK-051,Grady County,60.8833,86,0.5517,60.3
OK-053,Grant County,58.1417,69,0.1019,58
OK-055,Greer County,60.9,81,0.43,60.5
OK-057,Harmon County,61.475,86,0.6152,60.9
OK-059,Harper County,57.2167,56,-0.1901,57.4
OK-061,Haskell County,61.475,79,0.3766,61.1
OK-063,Hughes County,61.1917,74,0.0889,61.1
OK-065,Jackson County,61.9917,84,0.519,61.5
OK-067,Jefferson County,62.6833,54,-0.2456,62.9
OK-069,Johnston County,62.2083,69,0.0593,62.1
OK-071,Kay County,58.1917,60,-0.0742,58.3
OK-073,Kingfisher County,59.7917,68,0.0996,59.7
OK-075,Kiowa County,61.0833,85,0.5767,60.5
OK-077,Latimer County,61.2667,81,0.3317,60.9
OK-079,Le Flore County,61.225,94,0.9038,60.3
OK-081,Lincoln County,60.2083,59,-0.1661,60.4
OK-083,Logan County,59.8417,61,0.0978,59.7
OK-085,Love County,62.8583,54,-0.2099,63.1
OK-087,McClain County,60.9,74,0.2475,60.7
OK-089,McCurtain County,62.275,108,1.3035,61
OK-091,McIntosh County,61.2833,71,0.137,61.1
OK-093,Major County,58.575,67,-0.0152,58.6
OK-095,Marshall County,62.8583,70,0.032,62.8
OK-097,Mayes County,58.9667,40,-0.6302,59.6
OK-099,Murray County,61.55,56,-0.3332,61.9
OK-101,Muskogee County,60.8917,63,0.0704,60.8
OK-103,Noble County,59.4083,79,0.3728,59
OK-105,Nowata County,58.4167,50,-0.2046,58.6
OK-107,Okfuskee County,60.8167,76,0.128,60.7
OK-109,Oklahoma County,60.2583,68,0.1292,60.1
OK-111,Okmulgee County,60.8417,66,0.0417,60.8
OK-113,Osage County,58.4583,61,-0.0975,58.6
OK-115,Ottawa County,58.5083,74,0.3195,58.2
OK-117,Pawnee County,59.45,76,0.1843,59.3
OK-119,Payne County,59.9167,78,0.3384,59.6
OK-121,Pittsburg County,61.4,68,-0.0018,61.4
OK-123,Pontotoc County,61.3833,68,-0.0195,61.4
OK-125,Pottawatomie County,60.6917,60,-0.1598,60.9
