"CountyName","StateAbbr","LocationName","asset_id","asset_latitude","asset_longitude","CountyFIPS","AsthmaRate","h_TotalPopulation","SmokingRate","h_latitude","h_longitude","emissions_per_sq_mile","ALAND_SQMI","PopulationDensity","Temp","StateDesc","asset_name","County","Population"
"colfax","NE",31037964666.6667,1833550924,41.6666666666667,-97.0833333333333,31037,8.13333333333333,3655.33333333333,16.1333333333333,41.6153275633333,-97.0695044633333,0.0127221675289614,411.647,26,48.325,"Nebraska","United States_Nebraska_","colfax county",10709
"pasco","FL",12101032004,1833576803.5,28.25,-82.375,12101,8.3,4404.5,20.35,28.26599669,-82.38260473,0.00152932357966134,746.58,742,74.1,"Florida","United States_Florida_","pasco county",553947
"marion","GA",13197920200,1833567307,32.25,-84.5,13197,10.9,4219,22.8,32.25620683,-84.5278633,0.00360350039490902,366.017,23,66.0833,"Georgia","United States_Georgia_","marion county",8359
"kleberg","TX",48273020166.6667,1833547632.66667,27.4166666666667,-97.8333333333333,48273,8.53333333333333,6158.33333333333,15.8,27.46429737,-97.7804786666667,0.00201440753022861,881.306,35,74.275,"Texas","United States_Texas_","kleberg county",30680
"coke","TX",48081950150,1833579388.5,31.75,-100.375,48081,8.8,1660,18.85,31.891210735,-100.4957657,0.00113936269714748,911.646,4,65.1833,"Texas","United States_Texas_","coke county",3387
"woodbury","IA",19193002866.6667,1833547264.66667,42.4166666666667,-96.125,19193,8.26666666666667,4422.33333333333,18.8833333333333,42.4087977483333,-96.1556096866667,0.0162832905274187,872.896,118,46.5583,"Iowa","United States_Iowa_","woodbury county",103107
"pima","AZ",4019005200,1833571254,32,-113,4019,10.3,3523,17.5,32.21679774,-112.9780526,0.000298913253238443,9188.69,114,67.6167,"Arizona","United States_Arizona_","pima county",1047279
"nuckolls","NE",31129960100,1833552233,40,-98,31129,8.4,2106,16.1,40.03165793,-98.05662772,0.00439957532825486,575.155,7,50.7833,"Nebraska","United States_Nebraska_","nuckolls county",4148
"grundy","MO",29079960233.3333,1833544954,40.0833333333333,-93.5833333333333,29079,10.2666666666667,2583.33333333333,22.8,40.1022209266667,-93.58003668,0.00298245305778731,435.292,23,51.425,"Missouri","United States_Missouri_","grundy county",9850
"wood","TX",48499950602,1833609266,32.75,-95.25,48499,8.5,4256,15.5,32.71008007,-95.21011968,0.00013162697042907,645.243,71,64.9833,"Texas","United States_Texas_","wood county",45539
"beaverhead","MT",30001000200,1833572868,45.25,-112.75,30001,9.4,3470,15.7,45.23508543,-112.7143885,0.00124201796161939,5542.687,2,36.775,"Montana","United States_Montana_","beaverhead county",9453
"adams","MS",28001000800,1833565673,31.25,-91.5,28001,11.1,3456,21.2,31.38833031,-91.47617226,0.00207762353204216,462.344,66,66.2917,"Mississippi","United States_Mississippi_","adams county",30693
"franklin","IA",19069360250,1833545561,42.75,-93.375,19069,8.5,3664.5,17.85,42.735025985,-93.299661875,0.00192374209910055,581.972,17,45.1917,"Iowa","United States_Iowa_","franklin county",10070
"orange","FL",12095017805,1833547274,28.75,-81.5,12095,9.1,2916,20.6,28.75096846,-81.4697002,0.00220155286743672,901.866,1545,74.4333,"Florida","United States_Florida_","orange county",1393452
"siskiyou","CA",6093000100,1833546280,41.75,-121.5,6093,11,1458,20.8,41.78967773,-121.6223925,0.047490364676129,6278.768,7,48.9583,"California","United States_California_","siskiyou county",43539
"columbia","FL",12023110551,1833552379.5,30.125,-82.75,12023,9.75,4870.5,24.85,30.124954835,-82.710745105,0.00281372817253038,797.551,90,70.0583,"Florida","United States_Florida_","columbia county",71686
"dade","GA",13083040102,1833550058,34.75,-85.5,13083,9.8,3619,24.2,34.77695584,-85.52638261,0.000466933404409941,173.98,93,60.9667,"Georgia","United States_Georgia_","dade county",16116
"whitman","WA",53075000771.4286,1833546246.42857,46.8928571428571,-117.428571428571,53075,10.6285714285714,3607.57142857143,13.3714285714286,46.9072442442857,-117.463889457143,0.0446703833486489,2159.261,23,48.0083,"Washington","United States_Washington_","whitman county",50104
"allegany","NY",36003950300,1833613535,42.5,-78.25,36003,11.3,4927,18.6,42.46639128,-78.19605871,3.94268334532619e-05,1029.36,45,45.95,"New York","United States_New York_","allegany county",46091
"macomb","MI",26099215500,1833564809,42.75,-83,26099,10.6,6996,19.2,42.73595496,-83.00203409,0.00019395753674059,479.172,1824,49.1167,"Michigan","United States_Michigan_","macomb county",873972
"bartholomew","IN",18005011100,1833544392,39.25,-86,18005,10.3,8436,25.1,39.2971254,-85.98898503,0.00442145491367344,406.955,206,54.25,"Indiana","United States_Indiana_","bartholomew county",83779
"adams","WA",53001950300,1833569641,46.9166666666667,-118.833333333333,53001,10.6666666666667,4711.33333333333,18.2,46.9308419866667,-118.889149766667,0.0289326903133722,1924.989,10,48.125,"Washington","United States_Washington_","adams county",19983
"perry","AL",1105687100,1833547408.5,32.5,-87.375,1105,12.3,3979,24.1,32.49210375,-87.40394903,0.00330729022787556,719.656,12,65.825,"Alabama","United States_Alabama_","perry county",8923
"brazoria","TX",48039661966.6667,1833555734.83333,29.2083333333333,-95.5,48039,8.55,5236.66666666667,19.9,29.19903012,-95.48006371,0.00351721646602036,1363.271,275,71.0917,"Texas","United States_Texas_","brazoria county",374264
"pennington","MN",27113090200,1833545490.5,48,-96.125,27113,8.85,2230.5,18.3,48.064081375,-96.08646981,0.00926351947927498,616.578,23,36.3333,"Minnesota","United States_Minnesota_","pennington county",14119
"polk","MN",27119020650,1833545185.25,47.75,-96.40625,27119,9.0875,3001.25,19.0625,47.75488306125,-96.4336785125,0.0335504063979698,1971.073,16,37.0583,"Minnesota","United States_Minnesota_","polk county",31364
"peach","GA",13225040302,1833543660,32.5,-84,13225,13.3,2286,29.6,32.52956816,-83.95248409,0.00360638279874878,150.284,183,66.6,"Georgia","United States_Georgia_","peach county",27546
"st. clair","IL",17163503869.6667,1833545430,38.4166666666667,-89.8333333333333,17163,9.63333333333333,6890.33333333333,18.5,38.44727704,-89.8473349933333,0.00149108157680138,657.703,395,56.0583,"Illinois","United States_Illinois_","st. clair county",259686
"dixie","FL",12029970102,1833543491,29.75,-83,12029,9.9,7331,25.9,29.74046826,-83.11138157,0.00194851542192831,705.108,24,71.1083,"Florida","United States_Florida_","dixie county",16826
"pierce","GA",13229960200,1833543602,31.5,-82.25,13229,9.6,1688,23.2,31.43695908,-82.25037461,0.00109364428681073,340.45,57,69.2667,"Georgia","United States_Georgia_","pierce county",19465
"jefferson","OK",40067371700,1833550433.5,34,-97.875,40067,11.1,1687,24.6,34.01772028,-97.87037863,0.0103077777930788,758.956,8,62.6833,"Oklahoma","United States_Oklahoma_","jefferson county",6002
"ripley","MO",29181870400,1833544034,36.5,-90.75,29181,11.2,2522,27.5,36.56268412,-90.68260528,0.0510215094395237,629.531,21,58.1083,"Missouri","United States_Missouri_","ripley county",13288
"buffalo","NE",31019969050.75,1833562635.5,40.8125,-99,31019,7.675,4446.75,16.55,40.811141815,-99.06368827,0.00992237764920145,968.22,51,48.6333,"Nebraska","United States_Nebraska_","buffalo county",49659
"schuyler","IL",17169970200,1833545998,40.25,-90.5,17169,9.2,3279,18,40.12948698,-90.55106199,0.00131846669507454,437.3,15,51.8917,"Illinois","United States_Illinois_","schuyler county",6768
"wood","OH",39173021600,1833562490,41.375,-83.5,39173,10.1,3256.5,21.4,41.342777185,-83.471219165,0.00129551511755122,617.188,212,51.9083,"Ohio","United States_Ohio_","wood county",130817
"stillwater","MT",30095966600,1833613686,45.75,-109.25,30095,9.6,3098,18.2,45.88096662,-109.1822858,0.000965728778772078,1796.746,5,40.0083,"Montana","United States_Montana_","stillwater county",9642
"rush","IN",18139974200,1833547870,39.75,-85.5,18139,10.1,3608,23.3,39.71035331,-85.53462239,0.000143762826922661,408.124,41,52.6917,"Indiana","United States_Indiana_","rush county",16581
"coahoma","MS",28027950400,1833543792.33333,34.1666666666667,-90.5833333333333,28027,12,3812,22.7,34.1671682533333,-90.6019245533333,0.0171250583775445,552.489,40,63.45,"Mississippi","United States_Mississippi_","coahoma county",22124
"madison","AL",1089010904,1833554924,34.6666666666667,-86.5833333333333,1089,9.2,6452,15.4666666666667,34.69589693,-86.5772672966667,0.00171226524968445,801.591,465,62.15,"Alabama","United States_Alabama_","madison county",372909
"park","MT",30067000300,1833605556,45.75,-110.5,30067,10.3,3210,22,45.67914663,-110.5425376,0.0161468186761063,2802.471,6,37.5333,"Montana","United States_Montana_","park county",16606
"parmer","TX",48369950250,1833555665,34.625,-102.75,48369,8.7,5134.5,19.1,34.55005144,-102.77855405,0.00113670518075456,880.82,11,57.7333,"Texas","United States_Texas_","parmer county",9605
